Source: Wittgenstein Centre for Demography and Global Human Capital (2015). Wittgenstein Centre Data Explorer Version 1.2.
Available at: www.wittgensteincentre.org/dataexplorer 
Note: Your selection includes at least one country with limited base year data on educational attainment. Please consult the FAQ for more information
""
"Educational Attainment Distribution by Broad Age"
"De facto population by level of educational attainment in a country or region, classified by sex and by broad age groups. Available in all scenarios and at all geographical scales. Figures are expressed as a percentage. "
"Medium (SSP2)"
" "
"Area","Year","Education","Distribution"
"Slovenia",1995,"Total",1
"Slovenia",2000,"Total",1
"Slovenia",2005,"Total",1
"Slovenia",2010,"Total",1
"Slovenia",2015,"Total",1
"Slovenia",2020,"Total",1
"Spain",1990,"Total",1
"Spain",1995,"Total",1
"Spain",2000,"Total",1
"Spain",2005,"Total",1
"Spain",2010,"Total",1
"Spain",2015,"Total",1
"Spain",2020,"Total",1
"Sweden",1990,"Total",1
"Sweden",1995,"Total",1
"Sweden",2000,"Total",1
"Sweden",2005,"Total",1
"Sweden",2010,"Total",1
"Sweden",2015,"Total",1
"Sweden",2020,"Total",1
"Switzerland",1990,"Total",1
"Switzerland",1995,"Total",1
"Switzerland",2000,"Total",1
"Switzerland",2005,"Total",1
"Switzerland",2010,"Total",1
"Switzerland",2015,"Total",1
"Switzerland",2020,"Total",1
"Ukraine",1990,"Total",1
"Ukraine",1995,"Total",1
"Ukraine",2000,"Total",1
"Ukraine",2005,"Total",1
"Ukraine",2010,"Total",1
"Ukraine",2015,"Total",1
"Ukraine",2020,"Total",1
"The former Yugoslav Republic of Macedonia",1990,"Total",1
"The former Yugoslav Republic of Macedonia",1995,"Total",1
"The former Yugoslav Republic of Macedonia",2000,"Total",1
"The former Yugoslav Republic of Macedonia",2005,"Total",1
"The former Yugoslav Republic of Macedonia",2010,"Total",1
"The former Yugoslav Republic of Macedonia",2015,"Total",1
"The former Yugoslav Republic of Macedonia",2020,"Total",1
"United Kingdom of Great Britain and Northern Ireland",1990,"Total",1
"United Kingdom of Great Britain and Northern Ireland",1995,"Total",1
"United Kingdom of Great Britain and Northern Ireland",2000,"Total",1
"United Kingdom of Great Britain and Northern Ireland",2005,"Total",1
"United Kingdom of Great Britain and Northern Ireland",2010,"Total",1
"United Kingdom of Great Britain and Northern Ireland",2015,"Total",1
"United Kingdom of Great Britain and Northern Ireland",2020,"Total",1
"Channel Islands",1990,"Total",1
"Channel Islands",1995,"Total",1
"Channel Islands",2000,"Total",1
"Channel Islands",2005,"Total",1
"Channel Islands",2010,"Total",1
"Channel Islands",2015,"Total",1
"Channel Islands",2020,"Total",1
"Europe",1990,"Total",1
"Europe",1995,"Total",1
"Europe",2000,"Total",1
"Europe",2005,"Total",1
"Europe",2010,"Total",1
"Europe",2015,"Total",1
"Europe",2020,"Total",1
"Albania",1990,"Under 15",0.33
"Albania",1995,"Under 15",0.32
"Albania",2000,"Under 15",0.3
"Albania",2005,"Under 15",0.26
"Albania",2010,"Under 15",0.23
"Albania",2015,"Under 15",0.2
"Albania",2020,"Under 15",0.17
"Austria",1990,"Under 15",0.17
"Austria",1995,"Under 15",0.18
"Austria",2000,"Under 15",0.17
"Austria",2005,"Under 15",0.16
"Austria",2010,"Under 15",0.15
"Austria",2015,"Under 15",0.14
"Austria",2020,"Under 15",0.14
"Belgium",1990,"Under 15",0.18
"Belgium",1995,"Under 15",0.18
"Belgium",2000,"Under 15",0.17
"Belgium",2005,"Under 15",0.17
"Belgium",2010,"Under 15",0.17
"Belgium",2015,"Under 15",0.17
"Belgium",2020,"Under 15",0.17
"Bosnia and Herzegovina",1990,"Under 15",0.24
"Bosnia and Herzegovina",1995,"Under 15",0.22
"Bosnia and Herzegovina",2000,"Under 15",0.2
"Bosnia and Herzegovina",2005,"Under 15",0.17
"Bosnia and Herzegovina",2010,"Under 15",0.15
"Bosnia and Herzegovina",2015,"Under 15",0.14
"Bosnia and Herzegovina",2020,"Under 15",0.14
"Bulgaria",1990,"Under 15",0.2
"Bulgaria",1995,"Under 15",0.18
"Bulgaria",2000,"Under 15",0.16
"Bulgaria",2005,"Under 15",0.14
"Bulgaria",2010,"Under 15",0.14
"Bulgaria",2015,"Under 15",0.14
"Bulgaria",2020,"Under 15",0.14
"Belarus",1990,"Under 15",0.23
"Belarus",1995,"Under 15",0.22
"Belarus",2000,"Under 15",0.19
"Belarus",2005,"Under 15",0.16
"Belarus",2010,"Under 15",0.15
"Belarus",2015,"Under 15",0.16
"Belarus",2020,"Under 15",0.16
"Croatia",1990,"Under 15",0.21
"Croatia",1995,"Under 15",0.19
"Croatia",2000,"Under 15",0.17
"Croatia",2005,"Under 15",0.16
"Croatia",2010,"Under 15",0.15
"Croatia",2015,"Under 15",0.14
"Croatia",2020,"Under 15",0.14
"Czech Republic",1990,"Under 15",0.22
"Czech Republic",1995,"Under 15",0.19
"Czech Republic",2000,"Under 15",0.17
"Czech Republic",2005,"Under 15",0.15
"Czech Republic",2010,"Under 15",0.14
"Czech Republic",2015,"Under 15",0.15
"Czech Republic",2020,"Under 15",0.15
"Denmark",1990,"Under 15",0.17
"Denmark",1995,"Under 15",0.17
"Denmark",2000,"Under 15",0.19
"Denmark",2005,"Under 15",0.19
"Denmark",2010,"Under 15",0.18
"Denmark",2015,"Under 15",0.17
"Denmark",2020,"Under 15",0.16
"Estonia",1990,"Under 15",0.22
"Estonia",1995,"Under 15",0.21
"Estonia",2000,"Under 15",0.18
"Estonia",2005,"Under 15",0.15
"Estonia",2010,"Under 15",0.15
"Estonia",2015,"Under 15",0.16
"Estonia",2020,"Under 15",0.17
"Finland",1990,"Under 15",0.19
"Finland",1995,"Under 15",0.19
"Finland",2000,"Under 15",0.18
"Finland",2005,"Under 15",0.17
"Finland",2010,"Under 15",0.17
"Finland",2015,"Under 15",0.16
"Finland",2020,"Under 15",0.16
"France",1990,"Under 15",0.2
"France",1995,"Under 15",0.2
"France",2000,"Under 15",0.19
"France",2005,"Under 15",0.18
"France",2010,"Under 15",0.18
"France",2015,"Under 15",0.18
"France",2020,"Under 15",0.18
"Germany",1990,"Under 15",0.16
"Germany",1995,"Under 15",0.16
"Germany",2000,"Under 15",0.16
"Germany",2005,"Under 15",0.14
"Germany",2010,"Under 15",0.13
"Germany",2015,"Under 15",0.13
"Germany",2020,"Under 15",0.13
"Greece",1990,"Under 15",0.19
"Greece",1995,"Under 15",0.17
"Greece",2000,"Under 15",0.15
"Greece",2005,"Under 15",0.14
"Greece",2010,"Under 15",0.15
"Greece",2015,"Under 15",0.14
"Greece",2020,"Under 15",0.14
"Hungary",1990,"Under 15",0.2
"Hungary",1995,"Under 15",0.18
"Hungary",2000,"Under 15",0.17
"Hungary",2005,"Under 15",0.16
"Hungary",2010,"Under 15",0.15
"Hungary",2015,"Under 15",0.14
"Hungary",2020,"Under 15",0.14
"Iceland",1990,"Under 15",0.25
"Iceland",1995,"Under 15",0.24
"Iceland",2000,"Under 15",0.23
"Iceland",2005,"Under 15",0.22
"Iceland",2010,"Under 15",0.21
"Iceland",2015,"Under 15",0.2
"Iceland",2020,"Under 15",0.2
"Ireland",1990,"Under 15",0.27
"Ireland",1995,"Under 15",0.24
"Ireland",2000,"Under 15",0.22
"Ireland",2005,"Under 15",0.21
"Ireland",2010,"Under 15",0.21
"Ireland",2015,"Under 15",0.21
"Ireland",2020,"Under 15",0.21
"Italy",1990,"Under 15",0.16
"Italy",1995,"Under 15",0.15
"Italy",2000,"Under 15",0.14
"Italy",2005,"Under 15",0.14
"Italy",2010,"Under 15",0.14
"Italy",2015,"Under 15",0.14
"Italy",2020,"Under 15",0.13
"Latvia",1990,"Under 15",0.21
"Latvia",1995,"Under 15",0.21
"Latvia",2000,"Under 15",0.18
"Latvia",2005,"Under 15",0.14
"Latvia",2010,"Under 15",0.14
"Latvia",2015,"Under 15",0.15
"Latvia",2020,"Under 15",0.15
"Lithuania",1990,"Under 15",0.23
"Lithuania",1995,"Under 15",0.22
"Lithuania",2000,"Under 15",0.19
"Lithuania",2005,"Under 15",0.17
"Lithuania",2010,"Under 15",0.15
"Lithuania",2015,"Under 15",0.15
"Lithuania",2020,"Under 15",0.16
"Luxembourg",1990,"Under 15",0.17
"Luxembourg",1995,"Under 15",0.18
"Luxembourg",2000,"Under 15",0.19
"Luxembourg",2005,"Under 15",0.19
"Luxembourg",2010,"Under 15",0.18
"Luxembourg",2015,"Under 15",0.16
"Luxembourg",2020,"Under 15",0.16
"Malta",1990,"Under 15",0.24
"Malta",1995,"Under 15",0.23
"Malta",2000,"Under 15",0.2
"Malta",2005,"Under 15",0.17
"Malta",2010,"Under 15",0.15
"Malta",2015,"Under 15",0.14
"Malta",2020,"Under 15",0.15
"Republic of Moldova",1990,"Under 15",0.28
"Republic of Moldova",1995,"Under 15",0.27
"Republic of Moldova",2000,"Under 15",0.24
"Republic of Moldova",2005,"Under 15",0.19
"Republic of Moldova",2010,"Under 15",0.17
"Republic of Moldova",2015,"Under 15",0.16
"Republic of Moldova",2020,"Under 15",0.17
"Montenegro",1990,"Under 15",0.26
"Montenegro",1995,"Under 15",0.23
"Montenegro",2000,"Under 15",0.22
"Montenegro",2005,"Under 15",0.2
"Montenegro",2010,"Under 15",0.19
"Montenegro",2015,"Under 15",0.18
"Montenegro",2020,"Under 15",0.18
"Netherlands",1990,"Under 15",0.18
"Netherlands",1995,"Under 15",0.18
"Netherlands",2000,"Under 15",0.19
"Netherlands",2005,"Under 15",0.18
"Netherlands",2010,"Under 15",0.18
"Netherlands",2015,"Under 15",0.17
"Netherlands",2020,"Under 15",0.16
"Norway",1990,"Under 15",0.19
"Norway",1995,"Under 15",0.19
"Norway",2000,"Under 15",0.2
"Norway",2005,"Under 15",0.2
"Norway",2010,"Under 15",0.19
"Norway",2015,"Under 15",0.18
"Norway",2020,"Under 15",0.18
"Poland",1990,"Under 15",0.25
"Poland",1995,"Under 15",0.23
"Poland",2000,"Under 15",0.19
"Poland",2005,"Under 15",0.16
"Poland",2010,"Under 15",0.15
"Poland",2015,"Under 15",0.15
"Poland",2020,"Under 15",0.15
"Portugal",1990,"Under 15",0.21
"Portugal",1995,"Under 15",0.18
"Portugal",2000,"Under 15",0.16
"Portugal",2005,"Under 15",0.16
"Portugal",2010,"Under 15",0.15
"Portugal",2015,"Under 15",0.14
"Portugal",2020,"Under 15",0.13
"Romania",1990,"Under 15",0.24
"Romania",1995,"Under 15",0.2
"Romania",2000,"Under 15",0.18
"Romania",2005,"Under 15",0.16
"Romania",2010,"Under 15",0.15
"Romania",2015,"Under 15",0.15
"Romania",2020,"Under 15",0.14
"Russian Federation",1990,"Under 15",0.23
"Russian Federation",1995,"Under 15",0.21
"Russian Federation",2000,"Under 15",0.18
"Russian Federation",2005,"Under 15",0.15
"Russian Federation",2010,"Under 15",0.15
"Russian Federation",2015,"Under 15",0.17
"Russian Federation",2020,"Under 15",0.17
"Serbia",1990,"Under 15",0.23
"Serbia",1995,"Under 15",0.22
"Serbia",2000,"Under 15",0.2
"Serbia",2005,"Under 15",0.18
"Serbia",2010,"Under 15",0.18
"Serbia",2015,"Under 15",0.17
"Serbia",2020,"Under 15",0.15
"Slovakia",1990,"Under 15",0.26
"Slovakia",1995,"Under 15",0.23
"Slovakia",2000,"Under 15",0.2
"Slovakia",2005,"Under 15",0.17
"Slovakia",2010,"Under 15",0.15
"Slovakia",2015,"Under 15",0.15
"Slovakia",2020,"Under 15",0.16
"Slovenia",1990,"Under 15",0.21
"Slovenia",1995,"Under 15",0.18
"Slovenia",2000,"Under 15",0.16
"Slovenia",2005,"Under 15",0.14
"Slovenia",2010,"Under 15",0.14
"Slovenia",2015,"Under 15",0.14
"Slovenia",2020,"Under 15",0.15
"Spain",1990,"Under 15",0.2
"Spain",1995,"Under 15",0.17
"Spain",2000,"Under 15",0.15
"Spain",2005,"Under 15",0.14
"Spain",2010,"Under 15",0.15
"Spain",2015,"Under 15",0.15
"Spain",2020,"Under 15",0.14
"Sweden",1990,"Under 15",0.18
"Sweden",1995,"Under 15",0.19
"Sweden",2000,"Under 15",0.18
"Sweden",2005,"Under 15",0.17
"Sweden",2010,"Under 15",0.17
"Sweden",2015,"Under 15",0.17
"Sweden",2020,"Under 15",0.18
"Switzerland",1990,"Under 15",0.17
"Switzerland",1995,"Under 15",0.18
"Switzerland",2000,"Under 15",0.17
"Switzerland",2005,"Under 15",0.16
"Switzerland",2010,"Under 15",0.15
"Switzerland",2015,"Under 15",0.15
"Switzerland",2020,"Under 15",0.14
"Ukraine",1990,"Under 15",0.21
"Ukraine",1995,"Under 15",0.2
"Ukraine",2000,"Under 15",0.18
"Ukraine",2005,"Under 15",0.15
"Ukraine",2010,"Under 15",0.14
"Ukraine",2015,"Under 15",0.15
"Ukraine",2020,"Under 15",0.16
"The former Yugoslav Republic of Macedonia",1990,"Under 15",0.26
"The former Yugoslav Republic of Macedonia",1995,"Under 15",0.25
"The former Yugoslav Republic of Macedonia",2000,"Under 15",0.22
"The former Yugoslav Republic of Macedonia",2005,"Under 15",0.2
"The former Yugoslav Republic of Macedonia",2010,"Under 15",0.18
"The former Yugoslav Republic of Macedonia",2015,"Under 15",0.16
"The former Yugoslav Republic of Macedonia",2020,"Under 15",0.16
"United Kingdom of Great Britain and Northern Ireland",1990,"Under 15",0.19
"United Kingdom of Great Britain and Northern Ireland",1995,"Under 15",0.19
"United Kingdom of Great Britain and Northern Ireland",2000,"Under 15",0.19
"United Kingdom of Great Britain and Northern Ireland",2005,"Under 15",0.18
"United Kingdom of Great Britain and Northern Ireland",2010,"Under 15",0.17
"United Kingdom of Great Britain and Northern Ireland",2015,"Under 15",0.18
"United Kingdom of Great Britain and Northern Ireland",2020,"Under 15",0.18
"Channel Islands",1990,"Under 15",NA
"Channel Islands",1995,"Under 15",NA
"Channel Islands",2000,"Under 15",NA
"Channel Islands",2005,"Under 15",NA
"Channel Islands",2010,"Under 15",0.15
"Channel Islands",2015,"Under 15",0.14
"Channel Islands",2020,"Under 15",0.14
"Europe",1990,"Under 15",0.2
"Europe",1995,"Under 15",0.19
"Europe",2000,"Under 15",0.18
"Europe",2005,"Under 15",0.16
"Europe",2010,"Under 15",0.15
"Europe",2015,"Under 15",0.16
"Europe",2020,"Under 15",0.16
"Albania",1990,"No Education",0.07
"Albania",1995,"No Education",0.05
"Albania",2000,"No Education",0.04
"Albania",2005,"No Education",0.03
"Albania",2010,"No Education",0.02
"Albania",2015,"No Education",0.02
"Albania",2020,"No Education",0.01
"Austria",1990,"No Education",0
"Austria",1995,"No Education",0
"Austria",2000,"No Education",0
"Austria",2005,"No Education",0
"Austria",2010,"No Education",0
"Austria",2015,"No Education",0
"Austria",2020,"No Education",0
"Belgium",1990,"No Education",0.04
"Belgium",1995,"No Education",0.04
"Belgium",2000,"No Education",0.03
"Belgium",2005,"No Education",0.03
"Belgium",2010,"No Education",0.03
"Belgium",2015,"No Education",0.02
"Belgium",2020,"No Education",0.02
"Bosnia and Herzegovina",1990,"No Education",0.14
"Bosnia and Herzegovina",1995,"No Education",0.12
"Bosnia and Herzegovina",2000,"No Education",0.1
"Bosnia and Herzegovina",2005,"No Education",0.08
"Bosnia and Herzegovina",2010,"No Education",0.07
"Bosnia and Herzegovina",2015,"No Education",0.05
"Bosnia and Herzegovina",2020,"No Education",0.04
"Bulgaria",1990,"No Education",0.02
"Bulgaria",1995,"No Education",0.02
"Bulgaria",2000,"No Education",0.02
"Bulgaria",2005,"No Education",0.01
"Bulgaria",2010,"No Education",0.01
"Bulgaria",2015,"No Education",0.01
"Bulgaria",2020,"No Education",0.01
"Belarus",1990,"No Education",0.01
"Belarus",1995,"No Education",0.01
"Belarus",2000,"No Education",0
"Belarus",2005,"No Education",0
"Belarus",2010,"No Education",0
"Belarus",2015,"No Education",0
"Belarus",2020,"No Education",0
"Croatia",1990,"No Education",0.04
"Croatia",1995,"No Education",0.03
"Croatia",2000,"No Education",0.02
"Croatia",2005,"No Education",0.02
"Croatia",2010,"No Education",0.01
"Croatia",2015,"No Education",0.01
"Croatia",2020,"No Education",0.01
"Czech Republic",1990,"No Education",0
"Czech Republic",1995,"No Education",0
"Czech Republic",2000,"No Education",0
"Czech Republic",2005,"No Education",0
"Czech Republic",2010,"No Education",0
"Czech Republic",2015,"No Education",0
"Czech Republic",2020,"No Education",0
"Denmark",1990,"No Education",0
"Denmark",1995,"No Education",0
"Denmark",2000,"No Education",0
"Denmark",2005,"No Education",0
"Denmark",2010,"No Education",0
"Denmark",2015,"No Education",0
"Denmark",2020,"No Education",0
"Estonia",1990,"No Education",0
"Estonia",1995,"No Education",0
"Estonia",2000,"No Education",0
"Estonia",2005,"No Education",0
"Estonia",2010,"No Education",0
"Estonia",2015,"No Education",0
"Estonia",2020,"No Education",0
"Finland",1990,"No Education",0
"Finland",1995,"No Education",0
"Finland",2000,"No Education",0
"Finland",2005,"No Education",0
"Finland",2010,"No Education",0
"Finland",2015,"No Education",0
"Finland",2020,"No Education",0
"France",1990,"No Education",0.04
"France",1995,"No Education",0.03
"France",2000,"No Education",0.02
"France",2005,"No Education",0.02
"France",2010,"No Education",0.02
"France",2015,"No Education",0.01
"France",2020,"No Education",0.01
"Germany",1990,"No Education",0.01
"Germany",1995,"No Education",0.01
"Germany",2000,"No Education",0.01
"Germany",2005,"No Education",0.01
"Germany",2010,"No Education",0.01
"Germany",2015,"No Education",0.01
"Germany",2020,"No Education",0.01
"Greece",1990,"No Education",0.06
"Greece",1995,"No Education",0.04
"Greece",2000,"No Education",0.03
"Greece",2005,"No Education",0.03
"Greece",2010,"No Education",0.02
"Greece",2015,"No Education",0.02
"Greece",2020,"No Education",0.01
"Hungary",1990,"No Education",0.01
"Hungary",1995,"No Education",0.01
"Hungary",2000,"No Education",0.01
"Hungary",2005,"No Education",0.01
"Hungary",2010,"No Education",0
"Hungary",2015,"No Education",0
"Hungary",2020,"No Education",0
"Iceland",1990,"No Education",0
"Iceland",1995,"No Education",0
"Iceland",2000,"No Education",0
"Iceland",2005,"No Education",0
"Iceland",2010,"No Education",0
"Iceland",2015,"No Education",0
"Iceland",2020,"No Education",0
"Ireland",1990,"No Education",0.01
"Ireland",1995,"No Education",0.01
"Ireland",2000,"No Education",0
"Ireland",2005,"No Education",0
"Ireland",2010,"No Education",0
"Ireland",2015,"No Education",0
"Ireland",2020,"No Education",0
"Italy",1990,"No Education",0.02
"Italy",1995,"No Education",0.02
"Italy",2000,"No Education",0.01
"Italy",2005,"No Education",0.01
"Italy",2010,"No Education",0.01
"Italy",2015,"No Education",0.01
"Italy",2020,"No Education",0
"Latvia",1990,"No Education",0.02
"Latvia",1995,"No Education",0.01
"Latvia",2000,"No Education",0.01
"Latvia",2005,"No Education",0.01
"Latvia",2010,"No Education",0
"Latvia",2015,"No Education",0
"Latvia",2020,"No Education",0
"Lithuania",1990,"No Education",0
"Lithuania",1995,"No Education",0
"Lithuania",2000,"No Education",0
"Lithuania",2005,"No Education",0
"Lithuania",2010,"No Education",0
"Lithuania",2015,"No Education",0
"Lithuania",2020,"No Education",0
"Luxembourg",1990,"No Education",0.07
"Luxembourg",1995,"No Education",0.06
"Luxembourg",2000,"No Education",0.06
"Luxembourg",2005,"No Education",0.05
"Luxembourg",2010,"No Education",0.05
"Luxembourg",2015,"No Education",0.04
"Luxembourg",2020,"No Education",0.04
"Malta",1990,"No Education",0.01
"Malta",1995,"No Education",0.01
"Malta",2000,"No Education",0.01
"Malta",2005,"No Education",0.01
"Malta",2010,"No Education",0.01
"Malta",2015,"No Education",0
"Malta",2020,"No Education",0
"Republic of Moldova",1990,"No Education",0.01
"Republic of Moldova",1995,"No Education",0
"Republic of Moldova",2000,"No Education",0
"Republic of Moldova",2005,"No Education",0
"Republic of Moldova",2010,"No Education",0
"Republic of Moldova",2015,"No Education",0
"Republic of Moldova",2020,"No Education",0
"Montenegro",1990,"No Education",0.07
"Montenegro",1995,"No Education",0.05
"Montenegro",2000,"No Education",0.04
"Montenegro",2005,"No Education",0.03
"Montenegro",2010,"No Education",0.02
"Montenegro",2015,"No Education",0.02
"Montenegro",2020,"No Education",0.01
"Netherlands",1990,"No Education",0.03
"Netherlands",1995,"No Education",0.03
"Netherlands",2000,"No Education",0.03
"Netherlands",2005,"No Education",0.03
"Netherlands",2010,"No Education",0.02
"Netherlands",2015,"No Education",0.02
"Netherlands",2020,"No Education",0.02
"Norway",1990,"No Education",0
"Norway",1995,"No Education",0
"Norway",2000,"No Education",0
"Norway",2005,"No Education",0
"Norway",2010,"No Education",0
"Norway",2015,"No Education",0
